# KaDE -l 6 --count Occurrences ode.4.12.1.ka --output ode.4.12.1 --output-plot ../data/ode.4.12.1.data
# [T],mono,dimer,q1,q2,
0.000000,6.000000,0.000000,NaN,NaN,
0.010000,4.849797,0.575102,1.000000,2.000000,
0.020000,4.088168,0.955916,1.000000,2.000000,
0.030000,3.551600,1.224200,1.000000,2.000000,
0.040000,3.156323,1.421838,1.000000,2.000000,
0.050000,2.855834,1.572083,1.000000,2.000000,
0.060000,2.621460,1.689270,1.000000,2.000000,
0.070000,2.435241,1.782379,1.000000,2.000000,
0.080000,2.285743,1.857129,1.000000,2.000000,
0.090000,2.163238,1.918381,1.000000,2.000000,
0.100000,2.062596,1.968702,1.000000,2.000000,
0.110000,1.978801,2.010599,1.000000,2.000000,
0.120000,1.908790,2.045605,1.000000,2.000000,
0.130000,1.849913,2.075044,1.000000,2.000000,
0.140000,1.800164,2.099918,1.000000,2.000000,
0.150000,1.758006,2.120997,1.000000,2.000000,
0.160000,1.722087,2.138956,1.000000,2.000000,
0.170000,1.691453,2.154274,1.000000,2.000000,
0.180000,1.665211,2.167394,1.000000,2.000000,
0.190000,1.642725,2.178637,1.000000,2.000000,
0.200000,1.623388,2.188306,1.000000,2.000000,
0.210000,1.606762,2.196619,1.000000,2.000000,
0.220000,1.592422,2.203789,1.000000,2.000000,
0.230000,1.580061,2.209969,1.000000,2.000000,
0.240000,1.569377,2.215311,1.000000,2.000000,
0.250000,1.560150,2.219925,1.000000,2.000000,
0.260000,1.552163,2.223919,1.000000,2.000000,
0.270000,1.545255,2.227373,1.000000,2.000000,
0.280000,1.539267,2.230367,1.000000,2.000000,
0.290000,1.534083,2.232958,1.000000,2.000000,
0.300000,1.529586,2.235207,1.000000,2.000000,
0.310000,1.525690,2.237155,1.000000,2.000000,
0.320000,1.522307,2.238847,1.000000,2.000000,
0.330000,1.519375,2.240313,1.000000,2.000000,
0.340000,1.516827,2.241586,1.000000,2.000000,
0.350000,1.514618,2.242691,1.000000,2.000000,
0.360000,1.512699,2.243651,1.000000,2.000000,
0.370000,1.511033,2.244483,1.000000,2.000000,
0.380000,1.509586,2.245207,1.000000,2.000000,
0.390000,1.508330,2.245835,1.000000,2.000000,
0.400000,1.507238,2.246381,1.000000,2.000000,
0.410000,1.506290,2.246855,1.000000,2.000000,
0.420000,1.505466,2.247267,1.000000,2.000000,
0.430000,1.504750,2.247625,1.000000,2.000000,
0.440000,1.504128,2.247936,1.000000,2.000000,
0.450000,1.503588,2.248206,1.000000,2.000000,
0.460000,1.503118,2.248441,1.000000,2.000000,
0.470000,1.502710,2.248645,1.000000,2.000000,
0.480000,1.502355,2.248822,1.000000,2.000000,
0.490000,1.502047,2.248976,1.000000,2.000000,
0.500000,1.501779,2.249110,1.000000,2.000000,
0.510000,1.501546,2.249227,1.000000,2.000000,
0.520000,1.501344,2.249328,1.000000,2.000000,
0.530000,1.501168,2.249416,1.000000,2.000000,
0.540000,1.501015,2.249492,1.000000,2.000000,
0.550000,1.500883,2.249559,1.000000,2.000000,
0.560000,1.500767,2.249616,1.000000,2.000000,
0.570000,1.500667,2.249667,1.000000,2.000000,
0.580000,1.500580,2.249710,1.000000,2.000000,
0.590000,1.500504,2.249748,1.000000,2.000000,
0.600000,1.500438,2.249781,1.000000,2.000000,
0.610000,1.500381,2.249810,1.000000,2.000000,
0.620000,1.500331,2.249835,1.000000,2.000000,
0.630000,1.500288,2.249856,1.000000,2.000000,
0.640000,1.500250,2.249875,1.000000,2.000000,
0.650000,1.500217,2.249891,1.000000,2.000000,
0.660000,1.500189,2.249906,1.000000,2.000000,
0.670000,1.500164,2.249918,1.000000,2.000000,
0.680000,1.500143,2.249929,1.000000,2.000000,
0.690000,1.500124,2.249938,1.000000,2.000000,
0.700000,1.500108,2.249946,1.000000,2.000000,
0.710000,1.500094,2.249953,1.000000,2.000000,
0.720000,1.500081,2.249959,1.000000,2.000000,
0.730000,1.500071,2.249965,1.000000,2.000000,
0.740000,1.500062,2.249969,1.000000,2.000000,
