# KaDE -l 6 --count Occurrences ode.4.12.1.red.ka --output ode.4.12.1.red --output-plot ../data/ode.4.12.1.red.data
# [T],A,|A.x-x|,
0.000000,6.000000,0.000000,
0.010000,4.849931,0.575035,
0.020000,4.088254,0.955873,
0.030000,3.551259,1.224370,
0.040000,3.156221,1.421890,
0.050000,2.855655,1.572172,
0.060000,2.621509,1.689245,
0.070000,2.435842,1.782079,
0.080000,2.285950,1.857025,
0.090000,2.163258,1.918371,
0.100000,2.062928,1.968536,
0.110000,1.978839,2.010580,
0.120000,1.908917,2.045541,
0.130000,1.849902,2.075049,
0.140000,1.800284,2.099858,
0.150000,1.757997,2.121002,
0.160000,1.722174,2.138913,
0.170000,1.691447,2.154277,
0.180000,1.665274,2.167363,
0.190000,1.642721,2.178639,
0.200000,1.623435,2.188283,
0.210000,1.606759,2.196621,
0.220000,1.592456,2.203772,
0.230000,1.580059,2.209971,
0.240000,1.569403,2.215299,
0.250000,1.560149,2.219926,
0.260000,1.552182,2.223909,
0.270000,1.545253,2.227373,
0.280000,1.539281,2.230359,
0.290000,1.534082,2.232959,
0.300000,1.529597,2.235202,
0.310000,1.525689,2.237156,
0.320000,1.522315,2.238842,
0.330000,1.519374,2.240313,
0.340000,1.516834,2.241583,
0.350000,1.514618,2.242691,
0.360000,1.512703,2.243648,
0.370000,1.511033,2.244483,
0.380000,1.509589,2.245205,
0.390000,1.508330,2.245835,
0.400000,1.507240,2.246380,
0.410000,1.506290,2.246855,
0.420000,1.505468,2.247266,
0.430000,1.504750,2.247625,
0.440000,1.504129,2.247935,
0.450000,1.503588,2.248206,
0.460000,1.503119,2.248440,
0.470000,1.502710,2.248645,
0.480000,1.502356,2.248822,
0.490000,1.502047,2.248976,
0.500000,1.501780,2.249110,
0.510000,1.501546,2.249227,
0.520000,1.501345,2.249328,
0.530000,1.501168,2.249416,
0.540000,1.501016,2.249492,
0.550000,1.500883,2.249559,
0.560000,1.500767,2.249616,
0.570000,1.500667,2.249667,
0.580000,1.500580,2.249710,
0.590000,1.500504,2.249748,
0.600000,1.500438,2.249781,
0.610000,1.500381,2.249810,
0.620000,1.500331,2.249835,
0.630000,1.500288,2.249856,
0.640000,1.500250,2.249875,
0.650000,1.500217,2.249891,
0.660000,1.500189,2.249906,
0.670000,1.500164,2.249918,
0.680000,1.500143,2.249929,
0.690000,1.500124,2.249938,
0.700000,1.500108,2.249946,
0.710000,1.500094,2.249953,
0.720000,1.500081,2.249959,
0.730000,1.500071,2.249965,
0.740000,1.500062,2.249969,
0.750000,1.500053,2.249973,
0.760000,1.500047,2.249977,
0.770000,1.500040,2.249980,
0.780000,1.500035,2.249982,
0.790000,1.500031,2.249985,
0.800000,1.500027,2.249987,
0.810000,1.500023,2.249988,
0.820000,1.500020,2.249990,
0.830000,1.500017,2.249991,
0.840000,1.500015,2.249992,
0.850000,1.500013,2.249993,
0.860000,1.500011,2.249994,
0.870000,1.500010,2.249995,
0.880000,1.500009,2.249996,
0.890000,1.500008,2.249996,
0.900000,1.500007,2.249997,
0.910000,1.500006,2.249997,
0.920000,1.500005,2.249998,
0.930000,1.500004,2.249998,
0.940000,1.500004,2.249998,
0.950000,1.500003,2.249998,
0.960000,1.500003,2.249999,
0.970000,1.500002,2.249999,
0.980000,1.500002,2.249999,
0.990000,1.500002,2.249999,
1.000000,1.500002,2.249999,
