# KaDE -l 6 --count Occurrences ode.4.12.2.ka --output ode.4.12.2 --output-plot ../data/ode.4.12.2.data
# [T] mono dimer q1 q2 
0.000000 2.000000 2.000000 0.000000 0.000000 
0.010000 1.926723 2.036638 0.009629 0.019258 
0.020000 1.865166 2.067417 0.018621 0.037242 
0.030000 1.813198 2.093401 0.027102 0.054205 
0.040000 1.768997 2.115501 0.035173 0.070346 
0.050000 1.731741 2.134130 0.042907 0.085814 
0.060000 1.699532 2.150234 0.050370 0.100739 
0.070000 1.672174 2.163913 0.057621 0.115242 
0.080000 1.648639 2.175680 0.064672 0.129344 
0.090000 1.628526 2.185737 0.071586 0.143173 
0.100000 1.611140 2.194430 0.078368 0.156736 
0.110000 1.596236 2.201882 0.085061 0.170122 
0.120000 1.583319 2.208341 0.091666 0.183332 
0.130000 1.572221 2.213890 0.098214 0.196429 
0.140000 1.562584 2.218708 0.104707 0.209414 
0.150000 1.554290 2.222855 0.111167 0.222333 
0.160000 1.547077 2.226461 0.117593 0.235186 
0.170000 1.540862 2.229569 0.124002 0.248005 
0.180000 1.535451 2.232274 0.130395 0.260790 
0.190000 1.530784 2.234608 0.136782 0.273564 
0.200000 1.526718 2.236641 0.143164 0.286327 
0.210000 1.523209 2.238396 0.149548 0.299096 
0.220000 1.520149 2.239926 0.155935 0.311871 
0.230000 1.517507 2.241247 0.162331 0.324662 
0.240000 1.515202 2.242399 0.168735 0.337470 
0.250000 1.513211 2.243395 0.175151 0.350301 
0.260000 1.511473 2.244263 0.181579 0.363157 
0.270000 1.509972 2.245014 0.188021 0.376041 
0.280000 1.508662 2.245669 0.194477 0.388954 
0.290000 1.507529 2.246236 0.200949 0.401897 
0.300000 1.506540 2.246730 0.207435 0.414871 
0.310000 1.505685 2.247157 0.213938 0.427876 
0.320000 1.504939 2.247530 0.220456 0.440911 
0.330000 1.504294 2.247853 0.226989 0.453977 
0.340000 1.503730 2.248135 0.233537 0.467073 
0.350000 1.503243 2.248378 0.240099 0.480198 
0.360000 1.502818 2.248591 0.246675 0.493350 
0.370000 1.502450 2.248775 0.253264 0.506529 
0.380000 1.502128 2.248936 0.259866 0.519732 
0.390000 1.501851 2.249075 0.266479 0.532958 
0.400000 1.501608 2.249196 0.273103 0.546207 
0.410000 1.501398 2.249301 0.279737 0.559473 
0.420000 1.501215 2.249393 0.286379 0.572758 
0.430000 1.501056 2.249472 0.293028 0.586057 
0.440000 1.500918 2.249541 0.299685 0.599370 
0.450000 1.500798 2.249601 0.306347 0.612693 
0.460000 1.500693 2.249653 0.313013 0.626026 
0.470000 1.500603 2.249699 0.319681 0.639363 
0.480000 1.500524 2.249738 0.326353 0.652705 
0.490000 1.500455 2.249772 0.333024 0.666048 
0.500000 1.500396 2.249802 0.339695 0.679390 
0.510000 1.500344 2.249828 0.346364 0.692728 
0.520000 1.500299 2.249851 0.353030 0.706060 
0.530000 1.500260 2.249870 0.359691 0.719383 
0.540000 1.500226 2.249887 0.366348 0.732695 
0.550000 1.500196 2.249902 0.372996 0.745993 
0.560000 1.500171 2.249915 0.379637 0.759275 
0.570000 1.500148 2.249926 0.386268 0.772537 
0.580000 1.500129 2.249936 0.392889 0.785779 
0.590000 1.500112 2.249944 0.399498 0.798995 
0.600000 1.500097 2.249951 0.406093 0.812187 
0.610000 1.500085 2.249958 0.412674 0.825347 
0.620000 1.500074 2.249963 0.419239 0.838478 
0.630000 1.500064 2.249968 0.425787 0.851574 
0.640000 1.500056 2.249972 0.432317 0.864634 
0.650000 1.500048 2.249976 0.438827 0.877654 
0.660000 1.500042 2.249979 0.445317 0.890634 
0.670000 1.500037 2.249982 0.451785 0.903569 
0.680000 1.500032 2.249984 0.458230 0.916460 
0.690000 1.500028 2.249986 0.464650 0.929300 
0.700000 1.500024 2.249988 0.471046 0.942092 
0.710000 1.500021 2.249990 0.477415 0.954830 
0.720000 1.500018 2.249991 0.483757 0.967513 
0.730000 1.500016 2.249992 0.490069 0.980139 
0.740000 1.500014 2.249993 0.496353 0.992706 
0.750000 1.500012 2.249994 0.502605 1.005211 
0.760000 1.500010 2.249995 0.508827 1.017653 
0.770000 1.500009 2.249996 0.515015 1.030029 
0.780000 1.500008 2.249996 0.521170 1.042339 
0.790000 1.500007 2.249997 0.527289 1.054579 
0.800000 1.500006 2.249997 0.533374 1.066749 
0.810000 1.500005 2.249997 0.539422 1.078844 
0.820000 1.500004 2.249998 0.545433 1.090867 
0.830000 1.500004 2.249998 0.551406 1.102811 
0.840000 1.500003 2.249998 0.557340 1.114680 
0.850000 1.500003 2.249999 0.563233 1.126467 
0.860000 1.500003 2.249999 0.569087 1.138175 
0.870000 1.500002 2.249999 0.574899 1.149799 
0.880000 1.500002 2.249999 0.580670 1.161340 
0.890000 1.500002 2.249999 0.586397 1.172794 
0.900000 1.500001 2.249999 0.592082 1.184164 
0.910000 1.500001 2.249999 0.597722 1.195444 
0.920000 1.500001 2.249999 0.603318 1.206636 
0.930000 1.500001 2.250000 0.608868 1.217737 
0.940000 1.500001 2.250000 0.614374 1.228747 
0.950000 1.500001 2.250000 0.619832 1.239664 
0.960000 1.500001 2.250000 0.625244 1.250489 
0.970000 1.500001 2.250000 0.630609 1.261218 
0.980000 1.500000 2.250000 0.635926 1.271853 
0.990000 1.500000 2.250000 0.641195 1.282390 
1.000000 1.500000 2.250000 0.646416 1.292832 
1.010000 1.500000 2.250000 0.651588 1.303176 
1.020000 1.500000 2.250000 0.656711 1.313422 
1.030000 1.500000 2.250000 0.661784 1.323568 
1.040000 1.500000 2.250000 0.666808 1.333616 
1.050000 1.500000 2.250000 0.671781 1.343562 
1.060000 1.500000 2.250000 0.676705 1.353409 
1.070000 1.500000 2.250000 0.681577 1.363155 
1.080000 1.500000 2.250000 0.686400 1.372799 
1.090000 1.500000 2.250000 0.691171 1.382342 
1.100000 1.500000 2.250000 0.695892 1.391783 
1.110000 1.500000 2.250000 0.700561 1.401122 
1.120000 1.500000 2.250000 0.705179 1.410358 
1.130000 1.500000 2.250000 0.709746 1.419492 
1.140000 1.500000 2.250000 0.714262 1.428524 
1.150000 1.500000 2.250000 0.718726 1.437452 
1.160000 1.500000 2.250000 0.723140 1.446279 
1.170000 1.500000 2.250000 0.727501 1.455002 
1.180000 1.500000 2.250000 0.731812 1.463624 
1.190000 1.500000 2.250000 0.736071 1.472142 
1.200000 1.500000 2.250000 0.740279 1.480559 
1.210000 1.500000 2.250000 0.744436 1.488872 
1.220000 1.500000 2.250000 0.748543 1.497085 
1.230000 1.500000 2.250000 0.752598 1.505195 
1.240000 1.500000 2.250000 0.756602 1.513205 
1.250000 1.500000 2.250000 0.760556 1.521113 
1.260000 1.500000 2.250000 0.764460 1.528921 
1.270000 1.500000 2.250000 0.768314 1.536627 
1.280000 1.500000 2.250000 0.772117 1.544235 
1.290000 1.500000 2.250000 0.775871 1.551742 
1.300000 1.500000 2.250000 0.779576 1.559151 
1.310000 1.500000 2.250000 0.783231 1.566461 
1.320000 1.500000 2.250000 0.786837 1.573674 
1.330000 1.500000 2.250000 0.790394 1.580788 
1.340000 1.500000 2.250000 0.793903 1.587806 
1.350000 1.500000 2.250000 0.797364 1.594728 
1.360000 1.500000 2.250000 0.800777 1.601554 
1.370000 1.500000 2.250000 0.804142 1.608284 
1.380000 1.500000 2.250000 0.807461 1.614921 
1.390000 1.500000 2.250000 0.810732 1.621463 
1.400000 1.500000 2.250000 0.813957 1.627913 
1.410000 1.500000 2.250000 0.817135 1.634271 
1.420000 1.500000 2.250000 0.820268 1.640537 
1.430000 1.500000 2.250000 0.823356 1.646711 
1.440000 1.500000 2.250000 0.826398 1.652796 
1.450000 1.500000 2.250000 0.829396 1.658791 
1.460000 1.500000 2.250000 0.832349 1.664698 
1.470000 1.500000 2.250000 0.835259 1.670517 
1.480000 1.500000 2.250000 0.838125 1.676250 
1.490000 1.500000 2.250000 0.840948 1.681895 
1.500000 1.500000 2.250000 0.843728 1.687456 
1.510000 1.500000 2.250000 0.846466 1.692932 
1.520000 1.500000 2.250000 0.849162 1.698325 
1.530000 1.500000 2.250000 0.851817 1.703634 
1.540000 1.500000 2.250000 0.854431 1.708862 
1.550000 1.500000 2.250000 0.857004 1.714009 
1.560000 1.500000 2.250000 0.859538 1.719076 
1.570000 1.500000 2.250000 0.862031 1.724062 
1.580000 1.500000 2.250000 0.864486 1.728971 
1.590000 1.500000 2.250000 0.866901 1.733802 
1.600000 1.500000 2.250000 0.869278 1.738557 
1.610000 1.500000 2.250000 0.871617 1.743235 
1.620000 1.500000 2.250000 0.873919 1.747839 
1.630000 1.500000 2.250000 0.876184 1.752368 
1.640000 1.500000 2.250000 0.878412 1.756824 
1.650000 1.500000 2.250000 0.880604 1.761208 
1.660000 1.500000 2.250000 0.882760 1.765521 
1.670000 1.500000 2.250000 0.884881 1.769763 
1.680000 1.500000 2.250000 0.886968 1.773936 
1.690000 1.500000 2.250000 0.889020 1.778039 
1.700000 1.500000 2.250000 0.891038 1.782075 
1.710000 1.500000 2.250000 0.893022 1.786044 
1.720000 1.500000 2.250000 0.894974 1.789947 
1.730000 1.500000 2.250000 0.896892 1.793785 
1.740000 1.500000 2.250000 0.898779 1.797558 
1.750000 1.500000 2.250000 0.900634 1.801268 
1.760000 1.500000 2.250000 0.902458 1.804915 
1.770000 1.500000 2.250000 0.904250 1.808501 
1.780000 1.500000 2.250000 0.906013 1.812026 
1.790000 1.500000 2.250000 0.907745 1.815490 
1.800000 1.500000 2.250000 0.909448 1.818896 
1.810000 1.500000 2.250000 0.911121 1.822243 
1.820000 1.500000 2.250000 0.912766 1.825532 
1.830000 1.500000 2.250000 0.914383 1.828765 
1.840000 1.500000 2.250000 0.915971 1.831942 
1.850000 1.500000 2.250000 0.917532 1.835064 
1.860000 1.500000 2.250000 0.919066 1.838132 
1.870000 1.500000 2.250000 0.920573 1.841146 
1.880000 1.500000 2.250000 0.922054 1.844108 
1.890000 1.500000 2.250000 0.923509 1.847017 
1.900000 1.500000 2.250000 0.924938 1.849876 
1.910000 1.500000 2.250000 0.926342 1.852685 
1.920000 1.500000 2.250000 0.927722 1.855444 
1.930000 1.500000 2.250000 0.929077 1.858154 
1.940000 1.500000 2.250000 0.930408 1.860816 
1.950000 1.500000 2.250000 0.931715 1.863431 
1.960000 1.500000 2.250000 0.933000 1.865999 
1.970000 1.500000 2.250000 0.934261 1.868522 
1.980000 1.500000 2.250000 0.935500 1.870999 
1.990000 1.500000 2.250000 0.936716 1.873432 
2.000000 1.500000 2.250000 0.937911 1.875822 
2.010000 1.500000 2.250000 0.939084 1.878168 
2.020000 1.500000 2.250000 0.940236 1.880473 
2.030000 1.500000 2.250000 0.941368 1.882735 
2.040000 1.500000 2.250000 0.942479 1.884957 
2.050000 1.500000 2.250000 0.943569 1.887139 
2.060000 1.500000 2.250000 0.944640 1.889281 
2.070000 1.500000 2.250000 0.945692 1.891384 
2.080000 1.500000 2.250000 0.946724 1.893449 
2.090000 1.500000 2.250000 0.947738 1.895476 
2.100000 1.500000 2.250000 0.948733 1.897466 
2.110000 1.500000 2.250000 0.949710 1.899420 
2.120000 1.500000 2.250000 0.950669 1.901338 
2.130000 1.500000 2.250000 0.951610 1.903220 
2.140000 1.500000 2.250000 0.952534 1.905069 
2.150000 1.500000 2.250000 0.953441 1.906883 
2.160000 1.500000 2.250000 0.954332 1.908664 
2.170000 1.500000 2.250000 0.955206 1.910411 
2.180000 1.500000 2.250000 0.956063 1.912127 
2.190000 1.500000 2.250000 0.956905 1.913811 
2.200000 1.500000 2.250000 0.957732 1.915463 
2.210000 1.500000 2.250000 0.958543 1.917085 
2.220000 1.500000 2.250000 0.959338 1.918677 
2.230000 1.500000 2.250000 0.960119 1.920239 
2.240000 1.500000 2.250000 0.960886 1.921772 
2.250000 1.500000 2.250000 0.961638 1.923276 
2.260000 1.500000 2.250000 0.962376 1.924753 
2.270000 1.500000 2.250000 0.963101 1.926202 
2.280000 1.500000 2.250000 0.963812 1.927623 
2.290000 1.500000 2.250000 0.964509 1.929018 
2.300000 1.500000 2.250000 0.965194 1.930387 
2.310000 1.500000 2.250000 0.965865 1.931730 
2.320000 1.500000 2.250000 0.966524 1.933048 
2.330000 1.500000 2.250000 0.967171 1.934341 
2.340000 1.500000 2.250000 0.967805 1.935610 
2.350000 1.500000 2.250000 0.968427 1.936855 
2.360000 1.500000 2.250000 0.969038 1.938076 
2.370000 1.500000 2.250000 0.969637 1.939274 
2.380000 1.500000 2.250000 0.970225 1.940450 
2.390000 1.500000 2.250000 0.970802 1.941603 
2.400000 1.500000 2.250000 0.971367 1.942735 
2.410000 1.500000 2.250000 0.971922 1.943845 
2.420000 1.500000 2.250000 0.972467 1.944934 
2.430000 1.500000 2.250000 0.973001 1.946002 
2.440000 1.500000 2.250000 0.973525 1.947050 
2.450000 1.500000 2.250000 0.974039 1.948078 
2.460000 1.500000 2.250000 0.974543 1.949087 
2.470000 1.500000 2.250000 0.975038 1.950076 
2.480000 1.500000 2.250000 0.975523 1.951046 
2.490000 1.500000 2.250000 0.975999 1.951998 
2.500000 1.500000 2.250000 0.976466 1.952932 
2.510000 1.500000 2.250000 0.976924 1.953848 
2.520000 1.500000 2.250000 0.977373 1.954746 
2.530000 1.500000 2.250000 0.977814 1.955627 
2.540000 1.500000 2.250000 0.978246 1.956492 
2.550000 1.500000 2.250000 0.978670 1.957340 
2.560000 1.500000 2.250000 0.979086 1.958171 
2.570000 1.500000 2.250000 0.979493 1.958987 
2.580000 1.500000 2.250000 0.979893 1.959786 
2.590000 1.500000 2.250000 0.980285 1.960571 
2.600000 1.500000 2.250000 0.980670 1.961340 
2.610000 1.500000 2.250000 0.981047 1.962095 
2.620000 1.500000 2.250000 0.981418 1.962835 
2.630000 1.500000 2.250000 0.981780 1.963561 
2.640000 1.500000 2.250000 0.982136 1.964273 
