# KaDE --count Occurrences ode.4.12.2.red.ka --output ode.4.12.2.red --output-plot ../data/ode.4.12.2.red.data
# [T] A |A.x-x|
0.000000 2.000000 2.000000 
0.010000 1.926723 2.036638 
0.020000 1.865166 2.067417 
0.030000 1.813198 2.093401 
0.040000 1.768997 2.115501 
0.050000 1.731741 2.134130 
0.060000 1.699532 2.150234 
0.070000 1.672174 2.163913 
0.080000 1.648639 2.175680 
0.090000 1.628526 2.185737 
0.100000 1.611140 2.194430 
0.110000 1.596236 2.201882 
0.120000 1.583319 2.208341 
0.130000 1.572221 2.213890 
0.140000 1.562584 2.218708 
0.150000 1.554290 2.222855 
0.160000 1.547077 2.226461 
0.170000 1.540862 2.229569 
0.180000 1.535451 2.232274 
0.190000 1.530784 2.234608 
0.200000 1.526718 2.236641 
0.210000 1.523209 2.238396 
0.220000 1.520149 2.239926 
0.230000 1.517507 2.241247 
0.240000 1.515202 2.242399 
0.250000 1.513211 2.243395 
0.260000 1.511473 2.244263 
0.270000 1.509972 2.245014 
0.280000 1.508662 2.245669 
0.290000 1.507529 2.246236 
0.300000 1.506540 2.246730 
0.310000 1.505685 2.247157 
0.320000 1.504939 2.247530 
0.330000 1.504294 2.247853 
0.340000 1.503730 2.248135 
0.350000 1.503243 2.248378 
0.360000 1.502818 2.248591 
0.370000 1.502450 2.248775 
0.380000 1.502128 2.248936 
0.390000 1.501851 2.249075 
0.400000 1.501608 2.249196 
0.410000 1.501398 2.249301 
0.420000 1.501215 2.249393 
0.430000 1.501056 2.249472 
0.440000 1.500918 2.249541 
0.450000 1.500798 2.249601 
0.460000 1.500693 2.249653 
0.470000 1.500603 2.249699 
0.480000 1.500524 2.249738 
0.490000 1.500455 2.249772 
0.500000 1.500396 2.249802 
0.510000 1.500344 2.249828 
0.520000 1.500299 2.249851 
0.530000 1.500260 2.249870 
0.540000 1.500226 2.249887 
0.550000 1.500196 2.249902 
0.560000 1.500171 2.249915 
0.570000 1.500148 2.249926 
0.580000 1.500129 2.249936 
0.590000 1.500112 2.249944 
0.600000 1.500097 2.249951 
0.610000 1.500085 2.249958 
0.620000 1.500074 2.249963 
0.630000 1.500064 2.249968 
0.640000 1.500056 2.249972 
0.650000 1.500048 2.249976 
0.660000 1.500042 2.249979 
0.670000 1.500037 2.249982 
0.680000 1.500032 2.249984 
0.690000 1.500028 2.249986 
0.700000 1.500024 2.249988 
0.710000 1.500021 2.249990 
0.720000 1.500018 2.249991 
0.730000 1.500016 2.249992 
0.740000 1.500014 2.249993 
0.750000 1.500012 2.249994 
0.760000 1.500010 2.249995 
0.770000 1.500009 2.249996 
0.780000 1.500008 2.249996 
0.790000 1.500007 2.249997 
0.800000 1.500006 2.249997 
0.810000 1.500005 2.249997 
0.820000 1.500004 2.249998 
0.830000 1.500004 2.249998 
0.840000 1.500003 2.249998 
0.850000 1.500003 2.249999 
0.860000 1.500003 2.249999 
0.870000 1.500002 2.249999 
0.880000 1.500002 2.249999 
0.890000 1.500002 2.249999 
0.900000 1.500001 2.249999 
0.910000 1.500001 2.249999 
0.920000 1.500001 2.249999 
0.930000 1.500001 2.250000 
0.940000 1.500001 2.250000 
0.950000 1.500001 2.250000 
0.960000 1.500001 2.250000 
0.970000 1.500001 2.250000 
0.980000 1.500000 2.250000 
0.990000 1.500000 2.250000 
1.000000 1.500000 2.250000 
