# KaDE -l 6 --count Occurrences kappa/ode.4.12.3.red.ka --output kappa/ode.4.12.3.red --output-plot ../data/ode.4.12.3.red.data
# [T] A |A.x-x| 
0.000000 6.000000 0.000000 
0.010000 4.241966 0.879017 
0.020000 3.307270 1.346365 
0.030000 2.735599 1.632200 
0.040000 2.353430 1.823285 
0.050000 2.089177 1.955412 
0.060000 1.891456 2.054272 
0.070000 1.744770 2.127615 
0.080000 1.631592 2.184204 
0.090000 1.544115 2.227943 
0.100000 1.474465 2.262767 
0.110000 1.419419 2.290291 
0.120000 1.374816 2.312592 
0.130000 1.339064 2.330468 
0.140000 1.309766 2.345117 
0.150000 1.286065 2.356968 
0.160000 1.266497 2.366752 
0.170000 1.250570 2.374715 
0.180000 1.237355 2.381323 
0.190000 1.226554 2.386723 
0.200000 1.217562 2.391219 
0.210000 1.210193 2.394903 
0.220000 1.204044 2.397978 
0.230000 1.198994 2.400503 
0.240000 1.194774 2.402613 
0.250000 1.191304 2.404348 
0.260000 1.188401 2.405800 
0.270000 1.186011 2.406994 
0.280000 1.184011 2.407995 
0.290000 1.182364 2.408818 
0.300000 1.180984 2.409508 
0.310000 1.179847 2.410077 
0.320000 1.178894 2.410553 
0.330000 1.178109 2.410946 
0.340000 1.177451 2.411275 
0.350000 1.176909 2.411546 
0.360000 1.176454 2.411773 
0.370000 1.176079 2.411961 
0.380000 1.175765 2.412118 
0.390000 1.175506 2.412247 
0.400000 1.175288 2.412356 
0.410000 1.175109 2.412445 
0.420000 1.174959 2.412521 
0.430000 1.174835 2.412582 
0.440000 1.174731 2.412634 
0.450000 1.174645 2.412677 
0.460000 1.174574 2.412713 
0.470000 1.174514 2.412743 
0.480000 1.174465 2.412768 
0.490000 1.174424 2.412788 
0.500000 1.174389 2.412805 
0.510000 1.174361 2.412819 
0.520000 1.174337 2.412831 
0.530000 1.174318 2.412841 
0.540000 1.174301 2.412849 
0.550000 1.174288 2.412856 
0.560000 1.174276 2.412862 
0.570000 1.174267 2.412866 
0.580000 1.174259 2.412870 
0.590000 1.174253 2.412874 
0.600000 1.174247 2.412876 
0.610000 1.174243 2.412879 
0.620000 1.174239 2.412880 
0.630000 1.174236 2.412882 
0.640000 1.174233 2.412883 
0.650000 1.174231 2.412884 
0.660000 1.174229 2.412885 
0.670000 1.174228 2.412886 
0.680000 1.174227 2.412887 
0.690000 1.174226 2.412887 
0.700000 1.174225 2.412888 
0.710000 1.174224 2.412888 
0.720000 1.174224 2.412888 
0.730000 1.174223 2.412888 
0.740000 1.174223 2.412889 
0.750000 1.174222 2.412889 
0.760000 1.174222 2.412889 
0.770000 1.174222 2.412889 
0.780000 1.174222 2.412889 
0.790000 1.174221 2.412889 
0.800000 1.174221 2.412889 
0.810000 1.174221 2.412889 
0.820000 1.174221 2.412889 
0.830000 1.174221 2.412889 
0.840000 1.174221 2.412890 
0.850000 1.174221 2.412890 
0.860000 1.174221 2.412890 
0.870000 1.174221 2.412890 
0.880000 1.174221 2.412890 
0.890000 1.174221 2.412890 
0.900000 1.174221 2.412890 
0.910000 1.174221 2.412890 
0.920000 1.174221 2.412890 
0.930000 1.174221 2.412890 
0.940000 1.174221 2.412890 
0.950000 1.174221 2.412890 
0.960000 1.174221 2.412890 
0.970000 1.174221 2.412890 
0.980000 1.174221 2.412890 
0.990000 1.174221 2.412890 
1.000000 1.174221 2.412890 
1.010000 1.174221 2.412890 
1.020000 1.174221 2.412890 
1.030000 1.174221 2.412890 
1.040000 1.174221 2.412890 
1.050000 1.174221 2.412890 
1.060000 1.174221 2.412890 
1.070000 1.174221 2.412890 
1.080000 1.174221 2.412890 
1.090000 1.174221 2.412890 
1.100000 1.174221 2.412890 
1.110000 1.174221 2.412890 
1.120000 1.174221 2.412890 
1.130000 1.174221 2.412890 
1.140000 1.174221 2.412890 
1.150000 1.174221 2.412890 
1.160000 1.174221 2.412890 
1.170000 1.174221 2.412890 
1.180000 1.174221 2.412890 
1.190000 1.174221 2.412890 
1.200000 1.174221 2.412890 
1.210000 1.174221 2.412890 
1.220000 1.174221 2.412890 
1.230000 1.174221 2.412890 
1.240000 1.174221 2.412890 
1.250000 1.174221 2.412890 
1.260000 1.174221 2.412890 
1.270000 1.174221 2.412890 
1.280000 1.174221 2.412890 
1.290000 1.174221 2.412890 
1.300000 1.174221 2.412890 
1.310000 1.174221 2.412890 
1.320000 1.174221 2.412890 
1.330000 1.174221 2.412890 
1.340000 1.174221 2.412890 
1.350000 1.174221 2.412890 
1.360000 1.174221 2.412890 
1.370000 1.174221 2.412890 
1.380000 1.174221 2.412890 
1.390000 1.174221 2.412890 
1.400000 1.174221 2.412890 
1.410000 1.174221 2.412890 
1.420000 1.174221 2.412890 
1.430000 1.174221 2.412890 
1.440000 1.174221 2.412890 
1.450000 1.174221 2.412890 
1.460000 1.174221 2.412890 
1.470000 1.174221 2.412890 
1.480000 1.174221 2.412890 
1.490000 1.174221 2.412890 
1.500000 1.174221 2.412890 
1.510000 1.174221 2.412890 
1.520000 1.174221 2.412890 
1.530000 1.174221 2.412890 
1.540000 1.174221 2.412890 
1.550000 1.174221 2.412890 
1.560000 1.174221 2.412890 
1.570000 1.174221 2.412890 
1.580000 1.174221 2.412890 
1.590000 1.174221 2.412890 
1.600000 1.174221 2.412890 
1.610000 1.174221 2.412890 
1.620000 1.174221 2.412890 
1.630000 1.174221 2.412890 
1.640000 1.174221 2.412890 
1.650000 1.174221 2.412890 
1.660000 1.174221 2.412890 
1.670000 1.174221 2.412890 
1.680000 1.174221 2.412890 
1.690000 1.174221 2.412890 
1.700000 1.174221 2.412890 
1.710000 1.174221 2.412890 
1.720000 1.174221 2.412890 
1.730000 1.174221 2.412890 
1.740000 1.174221 2.412890 
1.750000 1.174221 2.412890 
1.760000 1.174221 2.412890 
1.770000 1.174221 2.412890 
1.780000 1.174221 2.412890 
1.790000 1.174221 2.412890 
1.800000 1.174221 2.412890 
1.810000 1.174221 2.412890 
1.820000 1.174221 2.412890 
1.830000 1.174221 2.412890 
1.840000 1.174221 2.412890 
1.850000 1.174221 2.412890 
1.860000 1.174221 2.412890 
1.870000 1.174221 2.412890 
1.880000 1.174221 2.412890 
1.890000 1.174221 2.412890 
1.900000 1.174221 2.412890 
1.910000 1.174221 2.412890 
1.920000 1.174221 2.412890 
1.930000 1.174221 2.412890 
1.940000 1.174221 2.412890 
1.950000 1.174221 2.412890 
1.960000 1.174221 2.412890 
1.970000 1.174221 2.412890 
1.980000 1.174221 2.412890 
1.990000 1.174221 2.412890 
2.000000 1.174221 2.412890 
2.010000 1.174221 2.412890 
2.020000 1.174221 2.412890 
2.030000 1.174221 2.412890 
2.040000 1.174221 2.412890 
2.050000 1.174221 2.412890 
2.060000 1.174221 2.412890 
2.070000 1.174221 2.412890 
2.080000 1.174221 2.412890 
2.090000 1.174221 2.412890 
2.100000 1.174221 2.412890 
2.110000 1.174221 2.412890 
2.120000 1.174221 2.412890 
2.130000 1.174221 2.412890 
2.140000 1.174221 2.412890 
2.150000 1.174221 2.412890 
2.160000 1.174221 2.412890 
2.170000 1.174221 2.412890 
2.180000 1.174221 2.412890 
2.190000 1.174221 2.412890 
2.200000 1.174221 2.412890 
2.210000 1.174221 2.412890 
2.220000 1.174221 2.412890 
2.230000 1.174221 2.412890 
2.240000 1.174221 2.412890 
2.250000 1.174221 2.412890 
2.260000 1.174221 2.412890 
2.270000 1.174221 2.412890 
2.280000 1.174221 2.412890 
