# KaDE -l 6 --count Occurrences ode.4.12.4.ka --output ode.4.12.4 --output-plot ../data/ode.4.12.4.data
# [T] mono dimer q1 q2
0.000000 6.000000 0.000000 NaN NaN
0.010000 4.855133 0.572433 1.000000 1.978807
0.020000 4.104849 0.947576 1.000000 1.955879
0.030000 3.582038 1.208981 1.000000 1.931872
0.040000 3.201504 1.399248 1.000000 1.907238
0.050000 2.915912 1.542044 1.000000 1.882297
0.060000 2.696187 1.651907 1.000000 1.857274
0.070000 2.523971 1.738014 1.000000 1.832336
0.080000 2.387968 1.806016 1.000000 1.807641
0.090000 2.278169 1.860916 1.000000 1.783252 
0.100000 2.189465 1.905268 1.000000 1.759268
0.110000 2.116697 1.941652 1.000000 1.735729
0.120000 2.056984 1.971508 1.000000 1.712685
0.130000 2.007573 1.996213 1.000000 1.690166
0.140000 1.966512 2.016744 1.000000 1.668201
0.150000 1.932236 2.033882 1.000000 1.646808
0.160000 1.903485 2.048258 1.000000 1.625997
0.170000 1.879287 2.060357 1.000000 1.605776
0.180000 1.858836 2.070582 1.000000 1.586146
0.190000 1.841496 2.079252 1.000000 1.567107
0.200000 1.826736 2.086632 1.000000 1.548654
0.210000 1.814131 2.092935 1.000000 1.530780
0.220000 1.803323 2.098338 1.000000 1.513477
0.230000 1.794023 2.102989 1.000000 1.496735
0.240000 1.785988 2.107006 1.000000 1.480541
0.250000 1.779017 2.110492 1.000000 1.464884
0.260000 1.772944 2.113528 1.000000 1.449749
0.270000 1.767628 2.116186 1.000000 1.435123
0.280000 1.762955 2.118523 1.000000 1.420991
0.290000 1.758825 2.120588 1.000000 1.407340
0.300000 1.755158 2.122421 1.000000 1.394153
0.310000 1.751885 2.124057 1.000000 1.381416
0.320000 1.748949 2.125526 1.000000 1.369115
0.330000 1.746301 2.126850 1.000000 1.357236
0.340000 1.743900 2.128050 1.000000 1.345763
0.350000 1.741712 2.129144 1.000000 1.334683
0.360000 1.739708 2.130146 1.000000 1.323982
0.370000 1.737863 2.131068 1.000000 1.313647
0.380000 1.736157 2.131921 1.000000 1.303664
0.390000 1.734572 2.132714 1.000000 1.294022
0.400000 1.733094 2.133453 1.000000 1.284707
0.410000 1.731709 2.134146 1.000000 1.275708
0.420000 1.730406 2.134797 1.000000 1.267013
0.430000 1.729177 2.135411 1.000000 1.258612
0.440000 1.728014 2.135993 1.000000 1.250493
0.450000 1.726910 2.136545 1.000000 1.242647
0.460000 1.725859 2.137070 1.000000 1.235063
0.470000 1.724857 2.137572 1.000000 1.227732
0.480000 1.723898 2.138051 1.000000 1.220644
0.490000 1.722980 2.138510 1.000000 1.213792
0.500000 1.722099 2.138951 1.000000 1.207165
0.510000 1.721252 2.139374 1.000000 1.200757
0.520000 1.720438 2.139781 1.000000 1.194559
0.530000 1.719653 2.140174 1.000000 1.188564
0.540000 1.718896 2.140552 1.000000 1.182765
0.550000 1.718165 2.140917 1.000000 1.177154
0.560000 1.717459 2.141270 1.000000 1.171725
0.570000 1.716777 2.141612 1.000000 1.166471
0.580000 1.716116 2.141942 1.000000 1.161387
0.590000 1.715477 2.142261 1.000000 1.156466
0.600000 1.714858 2.142571 1.000000 1.151703
0.610000 1.714259 2.142871 1.000000 1.147092
0.620000 1.713678 2.143161 1.000000 1.142628
0.630000 1.713115 2.143443 1.000000 1.138305
0.640000 1.712569 2.143716 1.000000 1.134120
0.650000 1.712039 2.143981 1.000000 1.130067
0.660000 1.711525 2.144238 1.000000 1.126142
