# KaDE --count Occurrences ode_KO.ka --output ode_KO --output-plot ../data/ode_KO.data
# [T] A |A.x-x| |A.y-y| |A.x-y| total mono dimer
0.000000 6.000000 0.000000 0.000000 0.000000 6.000000 6.000000 0.000000 
0.010000 5.090688 0.151818 0.151818 0.151020 5.545344 5.090688 0.454656 
0.020000 4.430936 0.262465 0.262465 0.259602 5.215468 4.430936 0.784532 
0.030000 3.932471 0.346536 0.346536 0.340692 4.966235 3.932471 1.033765 
0.040000 3.543966 0.412499 0.412499 0.403019 4.771983 3.543966 1.228017 
0.050000 3.234496 0.465463 0.465463 0.451828 4.617248 3.234496 1.382752 
0.060000 2.983579 0.508810 0.508810 0.490592 4.491789 2.983579 1.508211 
0.070000 2.776343 0.544970 0.544970 0.521887 4.388172 2.776343 1.611828 
0.080000 2.602932 0.575560 0.575560 0.547418 4.301466 2.602932 1.698534 
0.090000 2.457278 0.601607 0.601607 0.568143 4.228639 2.457278 1.771361 
0.100000 2.332569 0.624179 0.624179 0.585363 4.166284 2.332569 1.833716 
0.110000 2.225825 0.643819 0.643819 0.599442 4.112912 2.225825 1.887088 
0.120000 2.133522 0.661052 0.661052 0.611142 4.066761 2.133522 1.933239 
0.130000 2.053528 0.676272 0.676272 0.620685 4.026764 2.053528 1.973236 
0.140000 1.983548 0.689814 0.689814 0.628608 3.991774 1.983548 2.008226 
0.150000 1.922324 0.701918 0.701918 0.634993 3.961162 1.922324 2.038838 
0.160000 1.868319 0.712805 0.712805 0.640243 3.934159 1.868319 2.065841 
0.170000 1.820720 0.722634 0.722634 0.644362 3.910360 1.820720 2.089640 
0.180000 1.778462 0.731554 0.731554 0.647677 3.889231 1.778462 2.110769 
0.190000 1.740996 0.739678 0.739678 0.650134 3.870498 1.740996 2.129502 
0.200000 1.707561 0.747108 0.747108 0.652031 3.853780 1.707561 2.146220 
0.210000 1.677775 0.753926 0.753926 0.653245 3.838887 1.677775 2.161113 
0.220000 1.651079 0.760205 0.760205 0.654113 3.825539 1.651079 2.174461 
0.230000 1.627201 0.766007 0.766007 0.654298 3.813601 1.627201 2.186399 
0.240000 1.605724 0.771383 0.771383 0.654247 3.802862 1.605724 2.197138 
0.250000 1.586448 0.776380 0.776380 0.654087 3.793224 1.586448 2.206776 
0.260000 1.569057 0.781038 0.781038 0.653404 3.784529 1.569057 2.215471 
0.270000 1.553401 0.785393 0.785393 0.652537 3.776701 1.553401 2.223299 
0.280000 1.539238 0.789472 0.789472 0.651433 3.769619 1.539238 2.230381 
0.290000 1.526453 0.793306 0.793306 0.650174 3.763227 1.526453 2.236773 
0.300000 1.514859 0.796916 0.796916 0.648736 3.757429 1.514859 2.242571 
0.310000 1.504366 0.800324 0.800324 0.647177 3.752183 1.504366 2.247817 
0.320000 1.494829 0.803547 0.803547 0.645487 3.747415 1.494829 2.252585 
0.330000 1.486178 0.806604 0.806604 0.643707 3.743089 1.486178 2.256911 
0.340000 1.478298 0.809508 0.809508 0.641833 3.739149 1.478298 2.260851 
0.350000 1.471132 0.812273 0.812273 0.639892 3.735566 1.471132 2.264434 
0.360000 1.464591 0.814909 0.814909 0.637884 3.732295 1.464591 2.267705 
0.370000 1.458629 0.817429 0.817429 0.635830 3.729314 1.458629 2.270686 
0.380000 1.453175 0.819840 0.819840 0.633731 3.726587 1.453175 2.273413 
0.390000 1.448192 0.822153 0.822153 0.631601 3.724096 1.448192 2.275904 
0.400000 1.443622 0.824373 0.824373 0.629442 3.721811 1.443622 2.278189 
0.410000 1.439438 0.826508 0.826508 0.627266 3.719719 1.439438 2.280281 
0.420000 1.435592 0.828565 0.828565 0.625074 3.717796 1.435592 2.282204 
0.430000 1.432060 0.830549 0.830549 0.622874 3.716030 1.432060 2.283970 
0.440000 1.428807 0.832464 0.832464 0.620668 3.714403 1.428807 2.285597 
0.450000 1.425811 0.834316 0.834316 0.618464 3.712906 1.425811 2.287094 
0.460000 1.423044 0.836108 0.836108 0.616261 3.711522 1.423044 2.288478 
0.470000 1.420489 0.837846 0.837846 0.614065 3.710244 1.420489 2.289756 
0.480000 1.418122 0.839531 0.839531 0.611877 3.709061 1.418122 2.290939 
0.490000 1.415930 0.841167 0.841167 0.609702 3.707965 1.415930 2.292035 
0.500000 1.413894 0.842757 0.842757 0.607539 3.706947 1.413894 2.293053 
0.510000 1.412002 0.844304 0.844304 0.605392 3.706001 1.412002 2.293999 
0.520000 1.410240 0.845809 0.845809 0.603261 3.705120 1.410240 2.294880 
0.530000 1.408597 0.847276 0.847276 0.601150 3.704298 1.408597 2.295702 
0.540000 1.407061 0.848706 0.848706 0.599057 3.703531 1.407061 2.296469 
0.550000 1.405625 0.850101 0.850101 0.596986 3.702812 1.405625 2.297188 
0.560000 1.404278 0.851462 0.851462 0.594936 3.702139 1.404278 2.297861 
0.570000 1.403014 0.852792 0.852792 0.592909 3.701507 1.403014 2.298493 
0.580000 1.401825 0.854092 0.854092 0.590904 3.700912 1.401825 2.299088 
0.590000 1.400704 0.855362 0.855362 0.588924 3.700352 1.400704 2.299648 
0.600000 1.399647 0.856605 0.856605 0.586967 3.699823 1.399647 2.300177 
0.610000 1.398647 0.857820 0.857820 0.585036 3.699324 1.398647 2.300676 
0.620000 1.397701 0.859011 0.859011 0.583128 3.698850 1.397701 2.301150 
0.630000 1.396803 0.860176 0.860176 0.581246 3.698401 1.396803 2.301599 
