#n, kade_wo_sym, kasa, kade_fwd, kade_bwd, bngl, bngl_sym, erode_initial_fb,erode_initial_nfb, erode_initial_bb,erode_initial_nbb,erode_reduced_fb,erode_reduced_nfb, erode_reduced_bb,erode_reduced_nbb,
0,      0.,       0.,      0.,      0.,   0.,    0.,   0.,   0.,0.,0.
1,0.001394,0.000722, 0.002418,0.002514, 0.001,  0.001, 0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
2,0.003474,0.002305, 0.003985,0.004139, 0.02,   0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
3,0.004863, 0.004226, 0.007032,0.007262, 0.03,  0.03,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
4,0.008634,0.008914, 0.020552,0.018946, 0.12,  0.07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
5,0.026137, 0.025071,  0.067181,0.069171, 0.38,  0.26,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
6,0.069118,0.073423,  0.311556,0.33069, 1.44,  1.43,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
7,0.25431, 0.224123,  1.57005, 1.60526,  5.72, 11.10,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
8,2.19546,0.708071,  7.88053, 7.96044, 24.52, 106.26,0.001   ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
9,10.1247       ,2.29603, 41.7526, 43.3281, 110.73,       ,0.003,0.003,0.003,0.002,0.001,0.001,0.001,0.001,
10, 48.572,7.7361,  250.509, 253.594,  518.90,,0.005,0.007,0.008,0.008,0.001,0.001,0.001,0.001,
