#n, kade_wo_sym, kasa, kade_fwd, kade_bwd, bngl, bngl_sym, erode_initial_fb,erode_initial_nfb, erode_initial_bb,erode_initial_nbb,erode_reduced_fb,erode_reduced_nfb, erode_reduced_bb,erode_reduced_nbb,
0, 0., 0., 0.,0.,0.,0.,0.,0.,0.,0.
1, 0.00225, 0.001286,  0.004046, 0.003873,0.001,0.001, 0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
2, 0.004318,0.003685,  0.007873, 0.008793,0.02,  0.01, 0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
3, 0.008547, 0.006645,  0.017025, 0.020627,0.06, 0.02, 0.001,0.001,0.001,0.001, 0.001,0.001,0.001,0.001,
4, 0.018465, 0.018465, 0.036521,  0.037319, 0.14, 0.04, 0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
5, 0.041986, 0.026849, 0.06203,  0.087131, 0.37, 0.08, 0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,
6, 0.101352, 0.052174,  0.106849,  0.138138, 1.00, 0.13, 0.001,0.003,0.002,0.003,0.001,0.001,0.001,0.001,
7, 0.255698, 0.100566, 0.191022, 0.251259, 2.58, 0.23, 0.003,0.006,0.002,0.002,0.001,0.001,0.001,0.001,
8, 0.670282, 0.194196, 0.324019, 0.459048, 6.96, 0.37, 0.004,0.004,0.005,0.005,0.001,0.001,0.001,0.001,
9,   1.76816,  0.332928, 0.54416, 0.791958, 18.89,0.62, 0.004,0.005,0.007,0.005,0.001,0.001,0.001,0.001,
10, 5.16022, 0.588872, 0.899689, 1.37989, 54.40, 1.03, 0.008,0.011,0.012,0.012,0.001,0.001,0.001,0.001,
