#model, kade_wo_sym, kasa, kade_fwd, kade_bwd, bngl, bngl_sym, erode_initial_fb,erode_initial_nfb, erode_initial_bb,erode_initial_nbb,erode_reduced_fb,erode_reduced_nfb, erode_reduced_bb,erode_reduced_nbb,
0,0,0,0,0,0,0,0,0,0,0,0
1,  0.009526, 0.007193, 0.02239, 0.019819,  0.10, 0.11, 0.10, 0.005, 0.002, 0.002,,0.009,,0.004,
2,  0.008076, 0.041444, 0.034518, 0.034876, 0.08, 0.06, 0.001, 0.003, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001,
3,  0.009402, 0.045191, 1.1848,  1.00853,  7.68, 8.22, 0.001, 0.001, 0.001, 0.001, , 0.053, , 0.033,
4,  0.009039, 0.047175, 0.04607, 0.049943,  0.16, 0.20, 0.001, 0.001, 0.001, 0.001, 0.001, 0.004, 0.002, 0.002,
5, 13.0687,   0.059046, 0.824042, 0.834501,     , 5.19,0.053, 0.127, 0.093, 0.099, 0.005, 0.016, 0.010, 0.011,
6, 13.1851,   0.05224, 0.263311, 0.273658,     , 1.85,0.052, 0.134, 0.094, 0.095, 0.002, 0.007, 0.002, 0.004,
7, 13.2498,   0.089625, 3.48695,  3.57872,      , 13.02,0.054, 0.127, 0.106, 0.076, 0.015, 0.031, 0.021, 0.022,
8, 13.1831, 0.106721,  6.94145,  6.9275, , 21.36, 0.066, 0.138, 0.092, 0.088, 0.035, 0.064, 0.043, 0.044,
9, 13.2876, 0.107225, 24.8929,  24.7812,  , 46.48, 0.149, 0.212, 0.141, 0.119, 0.074, 0.149, 0.096, 0.102,
10, 13.2621, 0.198361, 151.554, 151.188,     , 121.18,0.058,0.133,0.088,0.103,0.104, 0.284, 0.148, 0.145,
11, 13.1249,9.38133,119.584,118.768,,128.35,0.051,0.135, 0.093, 0.094, 0.051, 0.259, 0.117, 0.115,
 12, 13.232, 69.7763,       ,       ,      ,      ,0.054, 0.138, 0.092, 0.135,,,,,
