# KaDE sym_KO.ka --count Occurrences
# [T],A,|A.x-x|,|A.y-y|,|A.x-y|,total,mono,dimer,
0.000000,6.000000,0.000000,0.000000,0.000000,6.000000,6.000000,0.000000,
0.010000,5.090688,0.151818,0.151818,0.151020,5.696364,5.090688,0.302838,
0.020000,4.430936,0.262465,0.262465,0.259602,5.475070,4.430936,0.522067,
0.030000,3.932471,0.346536,0.346536,0.340692,5.306928,3.932471,0.687229,
0.040000,3.543966,0.412499,0.412499,0.403019,5.175002,3.543966,0.815518,
0.050000,3.234496,0.465463,0.465463,0.451828,5.069074,3.234496,0.917290,
0.060000,2.983579,0.508810,0.508810,0.490592,4.982381,2.983579,0.999401,
0.070000,2.776343,0.544970,0.544970,0.521887,4.910060,2.776343,1.066858,
0.080000,2.602932,0.575560,0.575560,0.547418,4.848880,2.602932,1.122975,
0.090000,2.457278,0.601607,0.601607,0.568143,4.796787,2.457278,1.169753,
0.100000,2.332569,0.624179,0.624179,0.585363,4.751641,2.332569,1.209538,
0.110000,2.225825,0.643819,0.643819,0.599442,4.712361,2.225825,1.243267,
0.120000,2.133522,0.661052,0.661052,0.611142,4.677896,2.133522,1.272188,
0.130000,2.053528,0.676272,0.676272,0.620685,4.647456,2.053528,1.296962,
0.140000,1.983548,0.689814,0.689814,0.628608,4.620373,1.983548,1.318414,
0.150000,1.922324,0.701918,0.701918,0.634993,4.596163,1.922324,1.336918,
0.160000,1.868319,0.712805,0.712805,0.640243,4.574391,1.868319,1.353038,
0.170000,1.820720,0.722634,0.722634,0.644362,4.554732,1.820720,1.367004,
0.180000,1.778462,0.731554,0.731554,0.647677,4.536892,1.778462,1.379217,
0.190000,1.740996,0.739678,0.739678,0.650134,4.520644,1.740996,1.389822,
0.200000,1.707561,0.747108,0.747108,0.652031,4.505784,1.707561,1.399113,
0.210000,1.677775,0.753926,0.753926,0.653245,4.492148,1.677775,1.407185,
0.220000,1.651079,0.760205,0.760205,0.654113,4.479589,1.651079,1.414257,
0.230000,1.627201,0.766007,0.766007,0.654298,4.467987,1.627201,1.420391,
0.240000,1.605724,0.771383,0.771383,0.654247,4.457235,1.605724,1.425757,
0.250000,1.586448,0.776380,0.776380,0.654087,4.447239,1.586448,1.430393,
0.260000,1.569057,0.781038,0.781038,0.653404,4.437924,1.569057,1.434436,
0.270000,1.553401,0.785393,0.785393,0.652537,4.429215,1.553401,1.437904,
0.280000,1.539238,0.789472,0.789472,0.651433,4.421055,1.539238,1.440911,
0.290000,1.526453,0.793306,0.793306,0.650174,4.413388,1.526453,1.443465,
0.300000,1.514859,0.796916,0.796916,0.648736,4.406169,1.514859,1.445658,
0.310000,1.504366,0.800324,0.800324,0.647177,4.399352,1.504366,1.447490,
0.320000,1.494829,0.803547,0.803547,0.645487,4.392905,1.494829,1.449042,
0.330000,1.486178,0.806604,0.806604,0.643707,4.386791,1.486178,1.450303,
0.340000,1.478298,0.809508,0.809508,0.641833,4.380984,1.478298,1.451348,
0.350000,1.471132,0.812273,0.812273,0.639892,4.375454,1.471132,1.452157,
0.360000,1.464591,0.814909,0.814909,0.637884,4.370181,1.464591,1.452802,
0.370000,1.458629,0.817429,0.817429,0.635830,4.365142,1.458629,1.453252,
0.380000,1.453175,0.819840,0.819840,0.633731,4.360319,1.453175,1.453589,
0.390000,1.448192,0.822153,0.822153,0.631601,4.355694,1.448192,1.453730,
0.400000,1.443622,0.824373,0.824373,0.629442,4.351255,1.443622,1.453790,
0.410000,1.439438,0.826508,0.826508,0.627266,4.346983,1.439438,1.453785,
0.420000,1.435592,0.828565,0.828565,0.625074,4.342871,1.435592,1.453636,
0.430000,1.432060,0.830549,0.830549,0.622874,4.338903,1.432060,1.453429,
0.440000,1.428807,0.832464,0.832464,0.620668,4.335073,1.428807,1.453132,
0.450000,1.425811,0.834316,0.834316,0.618464,4.331368,1.425811,1.452782,
0.460000,1.423044,0.836108,0.836108,0.616261,4.327783,1.423044,1.452369,
0.470000,1.420489,0.837846,0.837846,0.614065,4.324309,1.420489,1.451912,
0.480000,1.418122,0.839531,0.839531,0.611877,4.320939,1.418122,1.451408,
0.490000,1.415930,0.841167,0.841167,0.609702,4.317666,1.415930,1.450869,
0.500000,1.413894,0.842757,0.842757,0.607539,4.314486,1.413894,1.450295,
0.510000,1.412002,0.844304,0.844304,0.605392,4.311392,1.412002,1.449696,
0.520000,1.410240,0.845809,0.845809,0.603261,4.308381,1.410240,1.449070,
0.530000,1.408597,0.847276,0.847276,0.601150,4.305448,1.408597,1.448426,
0.540000,1.407061,0.848706,0.848706,0.599057,4.302588,1.407061,1.447763,
0.550000,1.405625,0.850101,0.850101,0.596986,4.299798,1.405625,1.447087,
0.560000,1.404278,0.851462,0.851462,0.594936,4.297075,1.404278,1.446398,
0.570000,1.403014,0.852792,0.852792,0.592909,4.294415,1.403014,1.445701,
0.580000,1.401825,0.854092,0.854092,0.590904,4.291817,1.401825,1.444996,
0.590000,1.400704,0.855362,0.855362,0.588924,4.289276,1.400704,1.444286,
0.600000,1.399647,0.856605,0.856605,0.586967,4.286791,1.399647,1.443572,
0.610000,1.398647,0.857820,0.857820,0.585036,4.284359,1.398647,1.442856,
0.620000,1.397701,0.859011,0.859011,0.583128,4.281979,1.397701,1.442139,
0.630000,1.396803,0.860176,0.860176,0.581246,4.279647,1.396803,1.441423,
0.640000,1.395950,0.861318,0.861318,0.579389,4.277364,1.395950,1.440707,
0.650000,1.395137,0.862437,0.862437,0.577557,4.275126,1.395137,1.439994,
0.660000,1.394363,0.863534,0.863534,0.575751,4.272933,1.394363,1.439285,
0.670000,1.393624,0.864609,0.864609,0.573970,4.270782,1.393624,1.438579,
0.680000,1.392917,0.865664,0.865664,0.572214,4.268673,1.392917,1.437878,
0.690000,1.392240,0.866698,0.866698,0.570483,4.266604,1.392240,1.437182,
0.700000,1.391591,0.867713,0.867713,0.568778,4.264573,1.391591,1.436491,
0.710000,1.390967,0.868709,0.868709,0.567098,4.262581,1.390967,1.435807,
0.720000,1.390367,0.869687,0.869687,0.565442,4.260626,1.390367,1.435129,
0.730000,1.389790,0.870647,0.870647,0.563811,4.258706,1.389790,1.434458,
0.740000,1.389233,0.871590,0.871590,0.562205,4.256821,1.389233,1.433794,
0.750000,1.388695,0.872515,0.872515,0.560623,4.254970,1.388695,1.433138,
0.760000,1.388175,0.873424,0.873424,0.559064,4.253152,1.388175,1.432488,
0.770000,1.387672,0.874317,0.874317,0.557530,4.251366,1.387672,1.431847,
