# KaDE sym_OK.ka --count Occurrences
# [T] mono dimer 
0.000000 6.000000 0.000000 
0.010000 4.849797 0.431326 
0.020000 4.088168 0.716937 
0.030000 3.551600 0.918150 
0.040000 3.156323 1.066379 
0.050000 2.855834 1.179062 
0.060000 2.621460 1.266953 
0.070000 2.435241 1.336785 
0.080000 2.285743 1.392847 
0.090000 2.163238 1.438786 
0.100000 2.062596 1.476527 
0.110000 1.978801 1.507950 
0.120000 1.908790 1.534204 
0.130000 1.849913 1.556283 
0.140000 1.800164 1.574939 
0.150000 1.758006 1.590748 
0.160000 1.722087 1.604217 
0.170000 1.691453 1.615705 
0.180000 1.665211 1.625546 
0.190000 1.642725 1.633978 
0.200000 1.623388 1.641229 
0.210000 1.606762 1.647464 
0.220000 1.592422 1.652842 
0.230000 1.580061 1.657477 
0.240000 1.569377 1.661484 
0.250000 1.560150 1.664944 
0.260000 1.552163 1.667939 
0.270000 1.545255 1.670530 
0.280000 1.539267 1.672775 
0.290000 1.534083 1.674719 
0.300000 1.529586 1.676405 
0.310000 1.525690 1.677866 
0.320000 1.522307 1.679135 
0.330000 1.519375 1.680235 
0.340000 1.516827 1.681190 
0.350000 1.514618 1.682018 
0.360000 1.512699 1.682738 
0.370000 1.511033 1.683362 
0.380000 1.509586 1.683905 
0.390000 1.508330 1.684376 
0.400000 1.507238 1.684786 
0.410000 1.506290 1.685141 
0.420000 1.505466 1.685450 
0.430000 1.504750 1.685719 
0.440000 1.504128 1.685952 
0.450000 1.503588 1.686155 
0.460000 1.503118 1.686331 
0.470000 1.502710 1.686484 
0.480000 1.502355 1.686617 
0.490000 1.502047 1.686732 
0.500000 1.501779 1.686833 
0.510000 1.501546 1.686920 
0.520000 1.501344 1.686996 
0.530000 1.501168 1.687062 
0.540000 1.501015 1.687119 
0.550000 1.500883 1.687169 
0.560000 1.500767 1.687212 
0.570000 1.500667 1.687250 
0.580000 1.500580 1.687283 
0.590000 1.500504 1.687311 
0.600000 1.500438 1.687336 
0.610000 1.500381 1.687357 
0.620000 1.500331 1.687376 
0.630000 1.500288 1.687392 
0.640000 1.500250 1.687406 
0.650000 1.500217 1.687419 
0.660000 1.500189 1.687429 
0.670000 1.500164 1.687438 
0.680000 1.500143 1.687446 
0.690000 1.500124 1.687453 
0.700000 1.500108 1.687460 
0.710000 1.500094 1.687465 
0.720000 1.500081 1.687469 
0.730000 1.500071 1.687473 
0.740000 1.500062 1.687477 
0.750000 1.500053 1.687480 
0.760000 1.500046 1.687483 
0.770000 1.500040 1.687485 
0.780000 1.500035 1.687487 
0.790000 1.500031 1.687489 
0.800000 1.500027 1.687490 
0.810000 1.500023 1.687491 
0.820000 1.500020 1.687492 
0.830000 1.500017 1.687493 
0.840000 1.500015 1.687494 
0.850000 1.500013 1.687495 
0.860000 1.500011 1.687496 
0.870000 1.500010 1.687496 
0.880000 1.500009 1.687497 
0.890000 1.500008 1.687497 
0.900000 1.500007 1.687498 
0.910000 1.500006 1.687498 
0.920000 1.500005 1.687498 
0.930000 1.500004 1.687498 
0.940000 1.500004 1.687499 
0.950000 1.500003 1.687499 
0.960000 1.500003 1.687499 
0.970000 1.500002 1.687499 
0.980000 1.500002 1.687499 
0.990000 1.500002 1.687499 
1.000000 1.500002 1.687499 
