#t P(AB+AsBs)  P(AsB+ABs)  D  E(AsBs) WE(AsBs) CE(AsBs) AsBs WAsBs D 
0.000000 0.000000 0.000000 NaN 0.000000 0.000000 NaN 0.000000 0.000000 0.000000
0.100000 0.000697 0.000207 3.372446 0.008741 0.008496 0.771295 0.009518 0.003908 0.005610
0.200000 0.005248 0.001818 2.887411 0.040575 0.038860 0.742759 0.045637 0.024768 0.020869
0.300000 0.013382 0.005306 2.522069 0.084826 0.080788 0.716076 0.095706 0.061338 0.034368
0.400000 0.022651 0.010074 2.248549 0.131892 0.125603 0.692170 0.147220 0.104900 0.042320
0.500000 0.031290 0.015314 2.043303 0.177058 0.169070 0.671410 0.194480 0.148800 0.045681
0.600000 0.038560 0.020419 1.888426 0.218311 0.209241 0.653791 0.235731 0.189547 0.046184
0.700000 0.044353 0.025047 1.770783 0.254927 0.245275 0.639091 0.270905 0.225731 0.045174
0.800000 0.048841 0.029058 1.680823 0.286818 0.276926 0.626980 0.300542 0.257048 0.043495
0.900000 0.052273 0.032436 1.611590 0.314215 0.304297 0.617092 0.325351 0.283725 0.041626
1.000000 0.054889 0.035231 1.557983 0.337513 0.327684 0.609067 0.346031 0.306216 0.039816
1.100000 0.056887 0.037518 1.516235 0.357170 0.347486 0.602581 0.363219 0.325042 0.038178
1.200000 0.058421 0.039379 1.483543 0.373653 0.364132 0.597349 0.377471 0.340721 0.036751
1.300000 0.059607 0.040888 1.457811 0.387409 0.378050 0.593134 0.389266 0.353730 0.035536
1.400000 0.060531 0.042110 1.437458 0.398847 0.389636 0.589737 0.399010 0.364492 0.034518
1.500000 0.061256 0.043099 1.421288 0.408327 0.399249 0.586997 0.407048 0.373377 0.033671
1.600000 0.061830 0.043902 1.408386 0.416167 0.407203 0.584784 0.413670 0.380698 0.032972
1.700000 0.062287 0.044553 1.398054 0.422638 0.413771 0.582995 0.419121 0.386723 0.032397
1.800000 0.062652 0.045082 1.389752 0.427971 0.419186 0.581547 0.423602 0.391676 0.031926
1.900000 0.062946 0.045512 1.383062 0.432361 0.423644 0.580372 0.427284 0.395745 0.031539
2.000000 0.063183 0.045863 1.377656 0.435971 0.427310 0.579418 0.430306 0.399084 0.031223
2.100000 0.063375 0.046149 1.373277 0.438936 0.430323 0.578642 0.432786 0.401823 0.030964
2.200000 0.063531 0.046383 1.369724 0.441371 0.432797 0.578010 0.434821 0.404069 0.030752
2.300000 0.063658 0.046573 1.366837 0.443370 0.434827 0.577495 0.436488 0.405910 0.030578
2.400000 0.063762 0.046729 1.364487 0.445009 0.436493 0.577075 0.437855 0.407419 0.030437
2.500000 0.063846 0.046857 1.362571 0.446353 0.437859 0.576732 0.438975 0.408655 0.030321
2.600000 0.063915 0.046962 1.361009 0.447455 0.438979 0.576452 0.439893 0.409667 0.030226
2.700000 0.063972 0.047047 1.359734 0.448358 0.439896 0.576223 0.440644 0.410496 0.030148
2.800000 0.064018 0.047117 1.358692 0.449099 0.440648 0.576036 0.441260 0.411175 0.030084
2.900000 0.064056 0.047175 1.357841 0.449705 0.441264 0.575883 0.441764 0.411731 0.030032
3.000000 0.064086 0.047222 1.357144 0.450202 0.441769 0.575758 0.442176 0.412187 0.029990
3.100000 0.064112 0.047260 1.356575 0.450608 0.442183 0.575655 0.442514 0.412560 0.029955
3.200000 0.064133 0.047292 1.356109 0.450942 0.442521 0.575571 0.442791 0.412865 0.029926
3.300000 0.064150 0.047317 1.355728 0.451215 0.442799 0.575503 0.443018 0.413115 0.029903
3.400000 0.064164 0.047339 1.355415 0.451438 0.443026 0.575446 0.443203 0.413319 0.029884
3.500000 0.064175 0.047356 1.355160 0.451621 0.443212 0.575400 0.443355 0.413487 0.029868
3.600000 0.064184 0.047370 1.354950 0.451771 0.443364 0.575363 0.443479 0.413624 0.029855
3.700000 0.064192 0.047382 1.354779 0.451894 0.443489 0.575332 0.443581 0.413736 0.029845
3.800000 0.064198 0.047391 1.354639 0.451994 0.443591 0.575306 0.443664 0.413828 0.029836
3.900000 0.064203 0.047399 1.354524 0.452076 0.443674 0.575286 0.443732 0.413903 0.029829
4.000000 0.064208 0.047406 1.354430 0.452144 0.443743 0.575269 0.443788 0.413965 0.029823
4.100000 0.064211 0.047411 1.354353 0.452199 0.443799 0.575255 0.443834 0.414015 0.029819
4.200000 0.064214 0.047415 1.354290 0.452244 0.443845 0.575243 0.443871 0.414057 0.029815
4.300000 0.064216 0.047419 1.354238 0.452281 0.443882 0.575234 0.443902 0.414090 0.029812
4.400000 0.064218 0.047422 1.354196 0.452311 0.443913 0.575226 0.443927 0.414118 0.029809
4.500000 0.064220 0.047424 1.354161 0.452336 0.443938 0.575220 0.443948 0.414141 0.029807
4.600000 0.064221 0.047426 1.354132 0.452356 0.443959 0.575215 0.443964 0.414159 0.029805
4.700000 0.064222 0.047428 1.354109 0.452373 0.443976 0.575211 0.443978 0.414175 0.029804
4.800000 0.064223 0.047429 1.354090 0.452387 0.443990 0.575207 0.443989 0.414187 0.029803
4.900000 0.064224 0.047430 1.354075 0.452398 0.444001 0.575205 0.443999 0.414197 0.029802
5.000000 0.064224 0.047431 1.354062 0.452407 0.444010 0.575202 0.444006 0.414205 0.029801
5.100000 0.064225 0.047431 1.354051 0.452414 0.444018 0.575200 0.444012 0.414212 0.029800
5.200000 0.064225 0.047432 1.354043 0.452420 0.444024 0.575199 0.444017 0.414218 0.029800
5.300000 0.064225 0.047433 1.354036 0.452425 0.444029 0.575198 0.444022 0.414222 0.029799
5.400000 0.064226 0.047433 1.354030 0.452430 0.444033 0.575197 0.444025 0.414226 0.029799
5.500000 0.064226 0.047433 1.354025 0.452433 0.444037 0.575196 0.444028 0.414229 0.029799
5.600000 0.064226 0.047434 1.354021 0.452436 0.444039 0.575195 0.444030 0.414232 0.029798
5.700000 0.064226 0.047434 1.354018 0.452438 0.444042 0.575194 0.444032 0.414234 0.029798
5.800000 0.064226 0.047434 1.354016 0.452440 0.444044 0.575194 0.444033 0.414235 0.029798
5.900000 0.064226 0.047434 1.354014 0.452441 0.444045 0.575194 0.444035 0.414237 0.029798
6.000000 0.064226 0.047434 1.354012 0.452442 0.444046 0.575193 0.444036 0.414238 0.029798
6.100000 0.064227 0.047434 1.354010 0.452444 0.444047 0.575193 0.444037 0.414239 0.029798
6.200000 0.064227 0.047434 1.354009 0.452444 0.444048 0.575193 0.444037 0.414240 0.029798
6.300000 0.064227 0.047434 1.354008 0.452445 0.444049 0.575193 0.444038 0.414240 0.029797
6.400000 0.064227 0.047434 1.354008 0.452446 0.444050 0.575193 0.444038 0.414241 0.029797
6.500000 0.064227 0.047435 1.354007 0.452446 0.444050 0.575192 0.444039 0.414241 0.029797
6.600000 0.064227 0.047435 1.354006 0.452446 0.444050 0.575192 0.444039 0.414242 0.029797
6.700000 0.064227 0.047435 1.354006 0.452447 0.444051 0.575192 0.444039 0.414242 0.029797
6.800000 0.064227 0.047435 1.354006 0.452447 0.444051 0.575192 0.444039 0.414242 0.029797
6.900000 0.064227 0.047435 1.354005 0.452447 0.444051 0.575192 0.444040 0.414242 0.029797
7.000000 0.064227 0.047435 1.354005 0.452447 0.444051 0.575192 0.444040 0.414242 0.029797
7.100000 0.064227 0.047435 1.354005 0.452447 0.444051 0.575192 0.444040 0.414242 0.029797
7.200000 0.064227 0.047435 1.354005 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.300000 0.064227 0.047435 1.354005 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.400000 0.064227 0.047435 1.354005 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.500000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.600000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.700000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.800000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
7.900000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.000000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.100000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.200000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.300000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.400000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.500000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.600000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.700000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.800000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
8.900000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.000000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.100000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444041 0.414243 0.029797
9.200000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444041 0.414243 0.029797
9.300000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.400000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.500000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.600000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.700000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.800000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
9.900000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
10.000000 0.064227 0.047435 1.354004 0.452448 0.444052 0.575192 0.444040 0.414243 0.029797
