#t P(A+Ahb)  P(Ah+Ab)  D  E(Ahb) WE(Ahb) D  AHB WAHB D
0.000000 0.000000 0.000000 NaN 0.000000 0.000000 NaN 0.000000 0.000000 0.00000000000000000000
0.020000 0.000000 0.000379 0.000128 0.000008 0.000197 0.000128 0.000015 0.000015 0.00000000803724000000
0.040000 0.000001 0.001440 0.000520 0.000058 0.000778 0.000519 0.000118 0.000118 0.00000000094490000000
0.060000 0.000004 0.003076 0.001157 0.000188 0.001724 0.001156 0.000383 0.000383 0.00000000918790000000
0.080000 0.000011 0.005196 0.002033 0.000426 0.003018 0.002029 0.000871 0.000871 0.00000000171360000000
0.100000 0.000024 0.007718 0.003137 0.000795 0.004641 0.003127 0.001634 0.001634 0.00000001038200000000
0.120000 0.000047 0.010571 0.004461 0.001313 0.006575 0.004441 0.002711 0.002711 0.00000000255100000000
0.140000 0.000082 0.013694 0.005995 0.001993 0.008799 0.005960 0.004132 0.004132 0.00000000755500000000
0.160000 0.000132 0.017032 0.007731 0.002846 0.011296 0.007671 0.005920 0.005920 0.00000000728500000000
0.180000 0.000198 0.020539 0.009657 0.003876 0.014047 0.009565 0.008089 0.008089 0.00000000367400000000
0.200000 0.000284 0.024173 0.011767 0.005089 0.017033 0.011630 0.010650 0.010650 0.00000001362000000000
0.220000 0.000392 0.027900 0.014049 0.006483 0.020237 0.013855 0.013603 0.013603 -0.00000000127000000000
0.240000 0.000523 0.031687 0.016497 0.008059 0.023641 0.016229 0.016948 0.016948 0.00000000409000000000
0.260000 0.000678 0.035510 0.019101 0.009814 0.027229 0.018743 0.020678 0.020678 0.00000001092000000000
0.280000 0.000860 0.039344 0.021852 0.011742 0.030985 0.021384 0.024784 0.024784 -0.00000001181000000000
0.300000 0.001068 0.043171 0.024742 0.013840 0.034891 0.024145 0.029252 0.029252 -0.00000000109000000000
0.320000 0.001304 0.046974 0.027763 0.016100 0.038935 0.027013 0.034070 0.034070 0.00000000078000000000
0.340000 0.001568 0.050739 0.030907 0.018515 0.043101 0.029980 0.039218 0.039218 -0.00000001765000000000
0.360000 0.001860 0.054454 0.034165 0.021078 0.047375 0.033037 0.044679 0.044679 -0.00000000840000000000
0.380000 0.002181 0.058108 0.037531 0.023781 0.051744 0.036174 0.050434 0.050434 -0.00000000832000000000
0.400000 0.002529 0.061695 0.040997 0.026614 0.056197 0.039382 0.056461 0.056461 -0.00000002132000000000
0.420000 0.002905 0.065207 0.044555 0.029571 0.060721 0.042655 0.062740 0.062740 -0.00000001284000000000
