# [T] A |A.x-x| |A.y-y| |A.x-y| total 
0.000000 6.000000 0.000000 0.000000 0.000000 6.000000
0.010000 4.860604 0.284849 0.569698 0.142425 6.000000
0.020000 4.121618 0.469595 0.939191 0.234798 6.000000
0.030000 3.612273 0.596932 1.193864 0.298466 6.000000
0.040000 3.246948 0.688263 1.376526 0.344132 6.000000
0.050000 2.976359 0.755910 1.511821 0.377955 6.000000
0.060000 2.771518 0.807120 1.614241 0.403560 6.000000
0.070000 2.614466 0.846384 1.692767 0.423192 6.000000
0.080000 2.492023 0.876994 1.753989 0.438497 6.000000
0.090000 2.394992 0.901252 1.802504 0.450626 6.000000
0.100000 2.319042 0.920240 1.840479 0.460120 6.000000
0.110000 2.257586 0.935603 1.871207 0.467802 6.000000
0.120000 2.208885 0.947779 1.895558 0.473889 6.000000
0.130000 2.169399 0.957650 1.915300 0.478825 6.000000
0.140000 2.137857 0.965536 1.931071 0.482768 6.000000
0.150000 2.112095 0.971976 1.943952 0.485988 6.000000
0.160000 2.091417 0.977146 1.954292 0.488573 6.000000
0.170000 2.074463 0.981384 1.962769 0.490692 6.000000
0.180000 2.060811 0.984797 1.969594 0.492399 6.000000
0.190000 2.049590 0.987602 1.975205 0.493801 6.000000
0.200000 2.040536 0.989866 1.979732 0.494933 6.000000
0.210000 2.033081 0.991730 1.983459 0.495865 6.000000
0.220000 2.027058 0.993236 1.986471 0.496618 6.000000
0.230000 2.022093 0.994477 1.988954 0.497238 6.000000
0.240000 2.018077 0.995481 1.990961 0.497740 6.000000
0.250000 2.014765 0.996309 1.992617 0.498154 6.000000
0.260000 2.012085 0.996979 1.993957 0.498489 6.000000
0.270000 2.009873 0.997532 1.995063 0.498766 6.000000
0.280000 2.008082 0.997979 1.995959 0.498990 6.000000
0.290000 2.006604 0.998349 1.996698 0.499175 6.000000
0.300000 2.005407 0.998648 1.997297 0.499324 6.000000
0.310000 2.004418 0.998895 1.997791 0.499448 6.000000
0.320000 2.003618 0.999096 1.998191 0.499548 6.000000
0.330000 2.002956 0.999261 1.998522 0.499630 6.000000
0.340000 2.002421 0.999395 1.998790 0.499697 6.000000
0.350000 2.001978 0.999505 1.999011 0.499753 6.000000
0.360000 2.001620 0.999595 1.999190 0.499797 6.000000
0.370000 2.001324 0.999669 1.999338 0.499834 6.000000
0.380000 2.001084 0.999729 1.999458 0.499864 6.000000
0.390000 2.000886 0.999778 1.999557 0.499889 6.000000
0.400000 2.000726 0.999819 1.999637 0.499909 6.000000
0.410000 2.000593 0.999852 1.999703 0.499926 6.000000
0.420000 2.000486 0.999879 1.999757 0.499939 6.000000
0.430000 2.000397 0.999901 1.999802 0.499950 6.000000
0.440000 2.000325 0.999919 1.999837 0.499959 6.000000
0.450000 2.000266 0.999934 1.999867 0.499967 6.000000
0.460000 2.000218 0.999946 1.999891 0.499973 6.000000
0.470000 2.000178 0.999956 1.999911 0.499978 6.000000
0.480000 2.000146 0.999964 1.999927 0.499982 6.000000
0.490000 2.000119 0.999970 1.999940 0.499985 6.000000
0.500000 2.000097 0.999976 1.999951 0.499988 6.000000
0.510000 2.000080 0.999980 1.999960 0.499990 6.000000
0.520000 2.000065 0.999984 1.999967 0.499992 6.000000
0.530000 2.000053 0.999987 1.999973 0.499993 6.000000
0.540000 2.000044 0.999989 1.999978 0.499995 6.000000
0.550000 2.000036 0.999991 1.999982 0.499996 6.000000
0.560000 2.000029 0.999993 1.999985 0.499996 6.000000
0.570000 2.000024 0.999994 1.999988 0.499997 6.000000
0.580000 2.000020 0.999995 1.999990 0.499998 6.000000
0.590000 2.000016 0.999996 1.999992 0.499998 6.000000
0.600000 2.000013 0.999997 1.999993 0.499998 6.000000
0.610000 2.000011 0.999997 1.999995 0.499999 6.000000
0.620000 2.000009 0.999998 1.999996 0.499999 6.000000
0.630000 2.000007 0.999998 1.999996 0.499999 6.000000
0.640000 2.000006 0.999999 1.999997 0.499999 6.000000
0.650000 2.000005 0.999999 1.999998 0.499999 6.000000
0.660000 2.000004 0.999999 1.999998 0.500000 6.000000
0.670000 2.000003 0.999999 1.999998 0.500000 6.000000
0.680000 2.000003 0.999999 1.999999 0.500000 6.000000
0.690000 2.000002 0.999999 1.999999 0.500000 6.000000
0.700000 2.000002 1.000000 1.999999 0.500000 6.000000
0.710000 2.000001 1.000000 1.999999 0.500000 6.000000
0.720000 2.000001 1.000000 1.999999 0.500000 6.000000
0.730000 2.000001 1.000000 2.000000 0.500000 6.000000
0.740000 2.000001 1.000000 2.000000 0.500000 6.000000
0.750000 2.000001 1.000000 2.000000 0.500000 6.000000
0.760000 2.000001 1.000000 2.000000 0.500000 6.000000
0.770000 2.000000 1.000000 2.000000 0.500000 6.000000
0.780000 2.000000 1.000000 2.000000 0.500000 6.000000
0.790000 2.000000 1.000000 2.000000 0.500000 6.000000
0.800000 2.000000 1.000000 2.000000 0.500000 6.000000
0.810000 2.000000 1.000000 2.000000 0.500000 6.000000
0.820000 2.000000 1.000000 2.000000 0.500000 6.000000
0.830000 2.000000 1.000000 2.000000 0.500000 6.000000
0.840000 2.000000 1.000000 2.000000 0.500000 6.000000
0.850000 2.000000 1.000000 2.000000 0.500000 6.000000
0.860000 2.000000 1.000000 2.000000 0.500000 6.000000
0.870000 2.000000 1.000000 2.000000 0.500000 6.000000
0.880000 2.000000 1.000000 2.000000 0.500000 6.000000
0.890000 2.000000 1.000000 2.000000 0.500000 6.000000
0.900000 2.000000 1.000000 2.000000 0.500000 6.000000
0.910000 2.000000 1.000000 2.000000 0.500000 6.000000
0.920000 2.000000 1.000000 2.000000 0.500000 6.000000
0.930000 2.000000 1.000000 2.000000 0.500000 6.000000
0.940000 2.000000 1.000000 2.000000 0.500000 6.000000
0.950000 2.000000 1.000000 2.000000 0.500000 6.000000
0.960000 2.000000 1.000000 2.000000 0.500000 6.000000
0.970000 2.000000 1.000000 2.000000 0.500000 6.000000
0.980000 2.000000 1.000000 2.000000 0.500000 6.000000
0.990000 2.000000 1.000000 2.000000 0.500000 6.000000
1.000000 2.000000 1.000000 2.000000 0.500000 6.000000
